"","X","year","sex","education","vocabulary"
"92",19740094,1974,"Female",10,3
"93",19740095,1974,"Female",14,6
"94",19740096,1974,"Male",11,2
"95",19740097,1974,"Male",7,5
"96",19740098,1974,"Male",3,4
"97",19740099,1974,"Female",10,4
"98",19740100,1974,"Female",12,5
"99",19740101,1974,"Male",16,9
"100",19740102,1974,"Male",10,4
"101",19740103,1974,"Male",15,5
"102",19740104,1974,"Female",14,6
"103",19740105,1974,"Female",12,8
"104",19740106,1974,"Male",14,9
"105",19740107,1974,"Male",14,3
"106",19740108,1974,"Male",12,6
"107",19740109,1974,"Female",12,4
"108",19740110,1974,"Female",16,6
"109",19740111,1974,"Male",20,6
"110",19740112,1974,"Male",16,10
"111",19740113,1974,"Male",18,6
"112",19740114,1974,"Female",12,6
"113",19740115,1974,"Female",12,3
"114",19740116,1974,"Male",12,6
"115",19740117,1974,"Male",20,10
"116",19740118,1974,"Female",12,7
"117",19740119,1974,"Female",17,6
"118",19740121,1974,"Male",11,6
"119",19740122,1974,"Male",12,7
"120",19740123,1974,"Female",12,5
"121",19740124,1974,"Female",8,4
"122",19740125,1974,"Female",12,4
"123",19740126,1974,"Male",12,2
"124",19740127,1974,"Male",16,6
"125",19740128,1974,"Male",9,3
"126",19740129,1974,"Female",11,4
"127",19740130,1974,"Female",15,5
"128",19740131,1974,"Male",11,1
"129",19740132,1974,"Male",13,5
"130",19740133,1974,"Female",8,4
"131",19740134,1974,"Female",16,6
"132",19740135,1974,"Female",13,6
"133",19740136,1974,"Male",10,3
"134",19740137,1974,"Male",12,6
"135",19740138,1974,"Female",10,8
"136",19740139,1974,"Female",12,5
"137",19740140,1974,"Female",7,5
"138",19740141,1974,"Male",8,3
"139",19740142,1974,"Male",9,6
"140",19740143,1974,"Female",12,5
"141",19740144,1974,"Female",12,7
"142",19740145,1974,"Female",12,4
"143",19740146,1974,"Male",16,9
"144",19740147,1974,"Male",19,9
"145",19740148,1974,"Male",18,9
"146",19740149,1974,"Female",13,8
"147",19740150,1974,"Female",15,10
"148",19740151,1974,"Male",11,6
"149",19740152,1974,"Male",13,7
"150",19740153,1974,"Male",20,10
"151",19740154,1974,"Female",12,5
"152",19740155,1974,"Female",13,8
"153",19740156,1974,"Male",16,7
"154",19740157,1974,"Male",12,9
"155",19740158,1974,"Male",14,9
"156",19740159,1974,"Female",16,10
"157",19740160,1974,"Female",10,10
"158",19740161,1974,"Male",13,6
"159",19740162,1974,"Male",8,6
"160",19740163,1974,"Female",13,7
"161",19740164,1974,"Female",12,6
"162",19740165,1974,"Female",14,8
"163",19740166,1974,"Male",12,5
"164",19740167,1974,"Male",7,6
"165",19740168,1974,"Female",9,9
"166",19740169,1974,"Female",11,9
"167",19740170,1974,"Female",12,7
"168",19740171,1974,"Male",13,5
"169",19740172,1974,"Male",12,8
"170",19740173,1974,"Female",12,7
"171",19740174,1974,"Female",11,5
"172",19740175,1974,"Female",20,7
"173",19740176,1974,"Male",20,7
"174",19740177,1974,"Male",16,8
"175",19740178,1974,"Female",15,8
"176",19740179,1974,"Female",13,5
"177",19740180,1974,"Female",12,8
"178",19740181,1974,"Male",14,4
"179",19740182,1974,"Male",14,4
"180",19740183,1974,"Female",10,7
"181",19740184,1974,"Female",10,5
"182",19740185,1974,"Female",12,6
"183",19740186,1974,"Male",12,6
"184",19740187,1974,"Male",10,5
"185",19740188,1974,"Female",12,5
"186",19740189,1974,"Female",13,6
"187",19740190,1974,"Female",15,8
"188",19740191,1974,"Male",11,5
"189",19740192,1974,"Male",8,6
"190",19740193,1974,"Female",11,4
"191",19740194,1974,"Female",10,4
"192",19740195,1974,"Female",15,3
"193",19740196,1974,"Male",9,4
"194",19740197,1974,"Male",16,6
"195",19740199,1974,"Female",13,9
"196",19740200,1974,"Female",12,4
"197",19740201,1974,"Male",11,6
"198",19740202,1974,"Male",12,1
"199",19740203,1974,"Female",12,2
"200",19740204,1974,"Female",15,10
"201",19740205,1974,"Female",8,7
"202",19740206,1974,"Male",20,6
"203",19740207,1974,"Male",10,6
"204",19740208,1974,"Female",12,7
"205",19740209,1974,"Female",16,10
"206",19740210,1974,"Female",14,10
"207",19740211,1974,"Male",6,5
"208",19740212,1974,"Male",11,8
"209",19740213,1974,"Female",16,10
"210",19740214,1974,"Female",8,6
"211",19740215,1974,"Female",12,6
"212",19740216,1974,"Male",12,4
"213",19740217,1974,"Male",8,3
"214",19740218,1974,"Male",8,3
"215",19740219,1974,"Female",10,5
"216",19740220,1974,"Female",10,3
"217",19740221,1974,"Male",16,9
"218",19740222,1974,"Male",18,9
"219",19740223,1974,"Male",12,6
"220",19740224,1974,"Female",17,8
"221",19740225,1974,"Female",12,8
"222",19740226,1974,"Male",12,4
"223",19740227,1974,"Male",12,7
"224",19740228,1974,"Male",7,4
"225",19740229,1974,"Female",13,7
"226",19740230,1974,"Female",16,9
"227",19740231,1974,"Male",12,6
"228",19740232,1974,"Male",4,2
"229",19740233,1974,"Male",8,4
"230",19740234,1974,"Female",6,4
"231",19740235,1974,"Female",11,6
"232",19740236,1974,"Male",12,3
"233",19740237,1974,"Male",13,10
"234",19740238,1974,"Female",12,9
"235",19740239,1974,"Female",10,7
"236",19740240,1974,"Female",12,4
"237",19740241,1974,"Male",13,5
"238",19740242,1974,"Male",11,4
"239",19740243,1974,"Male",7,3
"240",19740244,1974,"Female",9,8
"241",19740245,1974,"Female",16,9
"242",19740246,1974,"Male",20,9
"243",19740247,1974,"Male",17,10
"244",19740248,1974,"Female",12,10
"245",19740249,1974,"Female",16,9
"246",19740250,1974,"Female",12,6
"247",19740251,1974,"Male",8,4
"248",19740252,1974,"Male",18,9
"249",19740253,1974,"Female",13,2
"250",19740254,1974,"Female",13,6
"251",19740255,1974,"Female",10,4
"252",19740256,1974,"Male",11,8
"253",19740257,1974,"Male",10,8
"254",19740258,1974,"Male",9,3
"255",19740259,1974,"Female",11,4
"256",19740260,1974,"Female",12,5
"257",19740261,1974,"Male",13,7
"258",19740262,1974,"Male",8,4
"259",19740264,1974,"Female",13,5
"260",19740265,1974,"Female",12,5
"261",19740266,1974,"Male",7,5
"262",19740268,1974,"Female",12,3
"263",19740269,1974,"Female",12,7
"264",19740270,1974,"Female",8,5
"265",19740271,1974,"Male",11,4
"266",19740272,1974,"Male",18,7
"267",19740273,1974,"Female",12,7
"268",19740274,1974,"Female",9,6
"269",19740275,1974,"Female",12,9
"270",19740276,1974,"Male",14,8
"271",19740277,1974,"Male",15,8
"272",19740278,1974,"Female",12,5
"273",19740279,1974,"Female",12,8
"274",19740280,1974,"Female",12,7
"275",19740281,1974,"Male",0,3
"276",19740282,1974,"Male",16,7
"277",19740283,1974,"Female",9,5
"278",19740284,1974,"Female",12,7
"279",19740285,1974,"Female",12,7
"280",19740286,1974,"Male",14,7
"281",19740287,1974,"Male",11,10
"282",19740288,1974,"Male",8,9
"283",19740289,1974,"Female",12,1
"284",19740290,1974,"Female",12,6
"285",19740291,1974,"Male",13,8
"286",19740292,1974,"Male",12,7
"287",19740293,1974,"Female",10,8
"288",19740294,1974,"Female",12,8
"289",19740295,1974,"Male",14,6
"290",19740296,1974,"Male",12,7
"291",19740297,1974,"Male",12,6
"292",19740298,1974,"Female",12,10
"293",19740299,1974,"Female",17,10
"294",19740300,1974,"Male",8,4
"295",19740301,1974,"Male",19,9
"296",19740302,1974,"Female",12,9
"297",19740303,1974,"Female",15,8
"298",19740304,1974,"Female",13,10
"299",19740305,1974,"Male",12,5
"300",19740306,1974,"Male",12,5
"301",19740307,1974,"Male",12,7
"302",19740308,1974,"Female",12,7
"303",19740309,1974,"Female",13,6
"304",19740310,1974,"Male",12,9
"305",19740311,1974,"Male",12,5
"306",19740312,1974,"Male",12,5
"307",19740313,1974,"Female",12,6
"308",19740314,1974,"Female",12,4
"309",19740315,1974,"Male",12,7
"310",19740316,1974,"Male",12,6
"311",19740318,1974,"Female",16,6
"312",19740319,1974,"Female",12,5
"313",19740320,1974,"Male",13,5
"314",19740321,1974,"Male",18,5
"315",19740322,1974,"Female",15,8
"316",19740323,1974,"Female",12,4
"317",19740324,1974,"Male",16,7
"318",19740325,1974,"Male",18,7
"319",19740326,1974,"Female",14,6
"320",19740327,1974,"Female",12,6
"321",19740328,1974,"Female",13,8
"322",19740329,1974,"Male",11,7
"323",19740330,1974,"Male",8,5
"324",19740331,1974,"Female",6,4
"325",19740332,1974,"Female",14,8
"326",19740333,1974,"Female",15,10
"327",19740334,1974,"Male",12,7
"328",19740335,1974,"Male",3,2
"329",19740336,1974,"Female",6,3
"330",19740337,1974,"Female",7,4
"331",19740338,1974,"Female",8,4
"332",19740339,1974,"Male",14,7
"333",19740340,1974,"Male",13,7
"334",19740341,1974,"Female",12,7
"335",19740342,1974,"Female",8,4
"336",19740343,1974,"Female",12,9
"337",19740344,1974,"Male",12,6
"338",19740345,1974,"Male",16,7
"339",19740346,1974,"Male",16,7
"340",19740347,1974,"Female",14,10
"341",19740348,1974,"Female",14,9
"342",19740349,1974,"Male",12,4
"343",19740350,1974,"Male",12,4
"344",19740351,1974,"Female",12,5
"345",19740352,1974,"Female",12,6
"346",19740353,1974,"Female",10,4
"347",19740354,1974,"Male",13,7
"348",19740355,1974,"Male",7,3
"349",19740356,1974,"Male",7,7
"350",19740357,1974,"Female",11,5
"351",19740358,1974,"Female",12,4
"352",19740359,1974,"Male",13,7
"353",19740360,1974,"Male",10,6
"354",19740361,1974,"Male",17,10
"355",19740362,1974,"Female",18,9
"356",19740363,1974,"Female",12,9
"357",19740364,1974,"Male",11,1
"358",19740365,1974,"Male",8,6
"359",19740366,1974,"Female",5,5
"360",19740367,1974,"Female",8,4
"361",19740368,1974,"Female",13,6
"362",19740369,1974,"Male",12,5
"363",19740370,1974,"Male",12,4
"364",19740371,1974,"Male",8,5
"365",19740372,1974,"Female",12,6
"366",19740373,1974,"Female",15,5
"367",19740374,1974,"Male",12,2
"368",19740375,1974,"Male",4,6
"369",19740376,1974,"Female",6,3
"370",19740377,1974,"Female",12,5
"371",19740378,1974,"Female",18,6
"372",19740379,1974,"Male",14,9
"373",19740380,1974,"Male",10,7
"374",19740381,1974,"Female",15,8
"375",19740382,1974,"Female",11,6
"376",19740383,1974,"Female",15,10
"377",19740384,1974,"Male",14,6
"378",19740385,1974,"Male",13,7
"379",19740386,1974,"Female",12,6
"380",19740387,1974,"Female",13,4
"381",19740388,1974,"Female",12,4
"382",19740389,1974,"Male",17,10
"383",19740390,1974,"Male",18,7
"384",19740391,1974,"Male",18,8
"385",19740392,1974,"Female",12,4
"386",19740393,1974,"Female",18,9
"387",19740394,1974,"Male",10,3
"388",19740395,1974,"Male",6,7
"389",19740396,1974,"Male",6,2
"390",19740397,1974,"Female",7,5
"391",19740398,1974,"Female",11,4
"392",19740400,1974,"Male",13,6
"393",19740401,1974,"Female",12,6
"394",19740402,1974,"Female",10,5
"395",19740403,1974,"Female",8,3
"396",19740404,1974,"Male",16,6
"397",19740405,1974,"Male",12,7
"398",19740406,1974,"Male",19,8
"399",19740407,1974,"Female",12,10
"400",19740408,1974,"Female",17,10
"401",19740409,1974,"Male",9,4
"402",19740410,1974,"Male",5,3
"403",19740411,1974,"Female",8,4
"404",19740412,1974,"Female",6,6
"405",19740413,1974,"Female",5,2
"406",19740414,1974,"Male",12,6
"407",19740415,1974,"Male",8,8
"408",19740416,1974,"Male",8,5
"409",19740417,1974,"Female",8,5
"410",19740418,1974,"Female",12,5
"411",19740419,1974,"Male",14,8
"412",19740420,1974,"Male",14,7
"413",19740421,1974,"Male",5,2
"414",19740422,1974,"Female",12,5
"415",19740423,1974,"Female",16,7
"416",19740424,1974,"Male",18,10
"417",19740425,1974,"Male",16,8
"418",19740426,1974,"Female",14,10
"419",19740427,1974,"Female",14,9
"420",19740428,1974,"Female",17,7
"421",19740429,1974,"Male",10,3
"422",19740430,1974,"Male",10,9
"423",19740431,1974,"Female",12,7
"424",19740432,1974,"Female",12,9
"425",19740433,1974,"Female",12,6
"426",19740434,1974,"Male",14,10
"427",19740435,1974,"Male",16,9
"428",19740436,1974,"Male",16,9
"429",19740437,1974,"Female",10,4
"430",19740438,1974,"Female",10,5
"431",19740439,1974,"Male",12,6
"432",19740440,1974,"Male",8,4
"433",19740441,1974,"Male",12,9
"434",19740442,1974,"Female",12,6
"435",19740443,1974,"Female",13,7
"436",19740444,1974,"Male",9,3
"437",19740445,1974,"Male",12,7
"438",19740446,1974,"Female",10,6
"439",19740447,1974,"Female",12,10
"440",19740448,1974,"Female",11,5
"441",19740449,1974,"Male",16,10
"442",19740450,1974,"Male",20,8
"443",19740451,1974,"Female",5,6
"444",19740452,1974,"Female",12,6
"445",19740453,1974,"Female",14,4
"446",19740454,1974,"Male",15,6
"447",19740455,1974,"Male",16,7
"448",19740456,1974,"Male",10,1
"449",19740457,1974,"Female",12,6
"450",19740458,1974,"Female",12,5
"451",19740459,1974,"Female",9,8
"452",19740460,1974,"Male",16,10
"453",19740461,1974,"Male",16,9
"454",19740462,1974,"Female",16,7
"455",19740463,1974,"Female",16,9
"456",19740464,1974,"Female",16,10
"457",19740465,1974,"Male",12,7
"458",19740466,1974,"Male",12,6
"459",19740467,1974,"Female",12,6
"460",19740468,1974,"Female",9,3
"461",19740469,1974,"Female",13,6
"462",19740470,1974,"Male",16,6
"463",19740471,1974,"Male",11,7
"464",19740472,1974,"Female",10,8
"465",19740473,1974,"Female",11,5
"466",19740474,1974,"Female",14,7
"467",19740475,1974,"Male",12,5
"468",19740476,1974,"Male",12,7
"469",19740477,1974,"Female",12,5
"470",19740478,1974,"Female",11,4
"471",19740479,1974,"Female",12,1
"472",19740480,1974,"Male",10,3
"473",19740481,1974,"Male",10,4
"474",19740482,1974,"Female",11,3
"475",19740483,1974,"Female",13,4
"476",19740484,1974,"Female",13,4
"477",19740485,1974,"Male",13,6
"478",19740486,1974,"Male",13,5
"479",19740487,1974,"Male",12,6
"480",19740488,1974,"Female",12,7
"481",19740489,1974,"Female",15,6
"482",19740490,1974,"Male",12,6
"483",19740491,1974,"Male",15,7
"484",19740493,1974,"Female",13,6
"485",19740494,1974,"Female",12,6
"486",19740495,1974,"Male",11,5
"487",19740496,1974,"Male",13,7
"488",19740497,1974,"Female",15,7
"489",19740498,1974,"Female",10,5
"490",19740499,1974,"Female",12,3
"491",19740500,1974,"Male",12,6
"492",19740501,1974,"Male",9,5
"493",19740502,1974,"Female",8,5
"494",19740503,1974,"Female",11,6
"495",19740504,1974,"Female",11,4
"496",19740505,1974,"Male",12,7
"497",19740506,1974,"Male",12,8
"498",19740507,1974,"Female",12,7
"499",19740508,1974,"Female",10,4
"500",19740509,1974,"Female",12,7
"501",19740510,1974,"Male",13,7
"502",19740511,1974,"Male",12,5
"503",19740512,1974,"Male",13,9
"504",19740513,1974,"Female",12,9
"505",19740514,1974,"Female",12,9
"506",19740515,1974,"Male",14,5
"507",19740516,1974,"Male",8,7
"508",19740517,1974,"Female",8,5
"509",19740518,1974,"Female",12,9
"510",19740519,1974,"Female",16,9
"511",19740520,1974,"Male",20,9
"512",19740521,1974,"Male",10,5
"513",19740522,1974,"Male",9,6
"514",19740523,1974,"Female",12,6
"515",19740524,1974,"Female",12,6
"516",19740525,1974,"Male",12,5
"517",19740526,1974,"Male",5,4
"518",19740527,1974,"Male",9,7
"519",19740528,1974,"Female",10,5
"520",19740529,1974,"Female",9,6
"521",19740530,1974,"Male",13,6
"522",19740531,1974,"Male",10,8
"523",19740532,1974,"Female",12,9
"524",19740533,1974,"Female",12,8
"525",19740534,1974,"Female",14,8
"526",19740535,1974,"Male",12,5
"527",19740536,1974,"Male",16,8
"528",19740537,1974,"Female",16,8
"529",19740538,1974,"Female",14,8
"530",19740539,1974,"Female",16,8
"531",19740540,1974,"Male",12,3
"532",19740541,1974,"Male",9,4
"533",19740542,1974,"Female",15,3
"534",19740543,1974,"Female",13,7
"535",19740544,1974,"Female",12,2
"536",19740545,1974,"Male",13,6
"537",19740546,1974,"Male",14,6
"538",19740547,1974,"Female",16,9
"539",19740548,1974,"Female",12,4
"540",19740549,1974,"Female",12,7
"541",19740550,1974,"Male",12,3
"542",19740551,1974,"Male",7,4
"543",19740552,1974,"Male",18,7
"544",19740553,1974,"Female",9,5
"545",19740554,1974,"Female",12,5
"546",19740555,1974,"Male",17,5
"547",19740556,1974,"Male",9,10
"548",19740558,1974,"Female",16,10
"549",19740559,1974,"Female",16,8
"550",19740560,1974,"Male",14,5
"551",19740561,1974,"Male",10,7
"552",19740562,1974,"Female",13,9
"553",19740563,1974,"Female",15,6
"554",19740564,1974,"Female",19,6
"555",19740565,1974,"Male",8,5
"556",19740566,1974,"Female",9,5
"557",19740567,1974,"Female",8,9
"558",19740568,1974,"Female",5,8
"559",19740569,1974,"Male",12,6
"560",19740570,1974,"Female",12,5
"561",19740571,1974,"Female",7,6
"562",19740572,1974,"Female",14,0
"563",19740573,1974,"Male",13,5
"564",19740574,1974,"Male",15,10
"565",19740575,1974,"Female",12,5
"566",19740576,1974,"Female",14,4
"567",19740577,1974,"Female",12,10
"568",19740578,1974,"Male",14,5
"569",19740579,1974,"Male",14,5
"570",19740580,1974,"Female",10,9
"571",19740581,1974,"Female",5,5
"572",19740582,1974,"Female",12,5
"573",19740583,1974,"Male",17,7
"574",19740584,1974,"Male",12,7
"575",19740585,1974,"Male",10,6
"576",19740586,1974,"Female",13,6
"577",19740587,1974,"Female",12,7
"578",19740588,1974,"Male",12,4
"579",19740589,1974,"Male",8,4
"580",19740590,1974,"Female",12,6
"581",19740591,1974,"Female",12,4
"582",19740592,1974,"Female",18,7
"583",19740593,1974,"Male",16,10
"584",19740595,1974,"Female",14,10
"585",19740596,1974,"Female",14,6
"586",19740597,1974,"Male",12,4
"587",19740598,1974,"Male",8,5
"588",19740599,1974,"Female",12,6
"589",19740600,1974,"Female",12,6
"590",19740601,1974,"Female",12,4
"591",19740602,1974,"Male",12,6
"592",19740603,1974,"Male",8,8
"593",19740604,1974,"Female",15,7
"594",19740605,1974,"Female",12,7
"595",19740606,1974,"Female",12,7
"596",19740607,1974,"Male",9,4
"597",19740608,1974,"Male",9,3
"598",19740609,1974,"Male",10,5
"599",19740610,1974,"Female",9,5
"600",19740611,1974,"Female",12,7
"601",19740612,1974,"Male",12,4
"602",19740613,1974,"Male",8,5
"603",19740614,1974,"Female",12,3
"604",19740615,1974,"Female",12,6
"605",19740616,1974,"Female",8,4
"606",19740617,1974,"Male",12,5
"607",19740618,1974,"Male",8,6
"608",19740619,1974,"Female",12,5
"609",19740620,1974,"Female",12,7
"610",19740621,1974,"Female",12,7
"611",19740622,1974,"Male",11,5
"612",19740623,1974,"Male",7,5
"613",19740624,1974,"Female",9,4
"614",19740625,1974,"Female",11,4
"615",19740626,1974,"Female",12,7
"616",19740627,1974,"Male",13,6
"617",19740628,1974,"Male",9,8
"618",19740629,1974,"Female",12,5
"619",19740630,1974,"Female",8,10
"620",19740631,1974,"Female",12,6
"621",19740632,1974,"Male",12,5
"622",19740633,1974,"Male",12,5
"623",19740634,1974,"Male",13,5
"624",19740635,1974,"Female",12,8
"625",19740636,1974,"Female",12,6
"626",19740637,1974,"Male",11,5
"627",19740638,1974,"Male",14,7
"628",19740639,1974,"Male",8,5
"629",19740640,1974,"Female",8,7
"630",19740641,1974,"Female",12,5
"631",19740642,1974,"Male",13,6
"632",19740643,1974,"Male",16,9
"633",19740644,1974,"Male",16,8
"634",19740645,1974,"Female",15,8
"635",19740646,1974,"Female",14,9
"636",19740647,1974,"Male",15,3
"637",19740648,1974,"Male",12,6
"638",19740650,1974,"Female",12,9
"639",19740651,1974,"Female",12,7
"640",19740652,1974,"Male",12,5
"641",19740653,1974,"Male",12,5
"642",19740654,1974,"Male",12,6
"643",19740655,1974,"Female",10,8
"644",19740656,1974,"Female",12,8
"645",19740657,1974,"Male",8,5
"646",19740658,1974,"Male",12,4
"647",19740660,1974,"Female",12,4
"648",19740661,1974,"Male",8,8
"649",19740662,1974,"Male",11,5
"650",19740663,1974,"Female",12,7
"651",19740664,1974,"Female",16,10
"652",19740665,1974,"Female",10,8
"653",19740666,1974,"Male",8,6
"654",19740667,1974,"Male",6,2
"655",19740668,1974,"Female",8,5
"656",19740669,1974,"Female",13,5
"657",19740670,1974,"Male",12,5
"658",19740671,1974,"Male",20,9
"659",19740672,1974,"Female",12,4
"660",19740673,1974,"Female",14,10
"661",19740674,1974,"Female",14,9
"662",19740675,1974,"Male",13,6
"663",19740676,1974,"Male",6,4
"664",19740677,1974,"Female",0,6
"665",19740679,1974,"Female",15,10
"666",19740680,1974,"Male",9,6
"667",19740681,1974,"Male",10,6
"668",19740682,1974,"Female",12,5
"669",19740683,1974,"Female",10,5
"670",19740684,1974,"Female",12,6
"671",19740685,1974,"Male",17,7
"672",19740686,1974,"Male",0,3
"673",19740687,1974,"Male",8,4
"674",19740688,1974,"Female",11,4
"675",19740689,1974,"Female",12,6
"676",19740690,1974,"Male",16,5
"677",19740691,1974,"Male",17,9
"678",19740692,1974,"Male",12,6
"679",19740693,1974,"Female",12,5
"680",19740694,1974,"Female",8,3
"681",19740695,1974,"Male",12,6
"682",19740696,1974,"Male",8,4
"683",19740697,1974,"Female",8,2
"684",19740699,1974,"Female",10,3
"685",19740700,1974,"Male",14,6
"686",19740701,1974,"Male",8,2
"687",19740702,1974,"Male",5,3
"688",19740703,1974,"Female",8,3
"689",19740704,1974,"Female",12,6
"690",19740705,1974,"Male",16,6
"691",19740706,1974,"Male",17,6
"692",19740707,1974,"Female",12,6
"693",19740708,1974,"Female",11,6
"694",19740709,1974,"Female",8,6
"695",19740710,1974,"Male",8,6
"696",19740711,1974,"Male",10,7
"697",19740712,1974,"Male",12,6
"698",19740713,1974,"Female",10,8
"699",19740714,1974,"Female",12,6
"700",19740715,1974,"Male",17,9
"701",19740716,1974,"Male",12,10
"702",19740717,1974,"Female",10,6
"703",19740718,1974,"Female",17,10
"704",19740719,1974,"Female",8,3
"705",19740720,1974,"Male",8,7
"706",19740721,1974,"Male",10,4
"707",19740722,1974,"Female",10,5
"708",19740723,1974,"Female",12,7
"709",19740724,1974,"Female",13,6
"710",19740725,1974,"Male",13,4
"711",19740726,1974,"Male",12,5
"712",19740727,1974,"Male",14,9
"713",19740728,1974,"Female",10,5
"714",19740729,1974,"Female",12,6
"715",19740730,1974,"Male",16,6
"716",19740731,1974,"Male",12,6
"717",19740732,1974,"Female",12,4
"718",19740733,1974,"Female",12,6
"719",19740734,1974,"Female",12,7
"720",19740735,1974,"Male",8,1
"721",19740736,1974,"Male",12,7
"722",19740737,1974,"Female",12,6
"723",19740738,1974,"Female",11,4
"724",19740739,1974,"Female",8,2
"725",19740740,1974,"Male",9,5
"726",19740741,1974,"Male",12,6
"727",19740742,1974,"Female",12,7
"728",19740743,1974,"Female",14,6
"729",19740744,1974,"Female",12,6
"730",19740745,1974,"Male",12,8
"731",19740746,1974,"Male",14,7
"732",19740747,1974,"Male",12,9
"733",19740748,1974,"Female",12,4
"734",19740749,1974,"Female",14,8
"735",19740750,1974,"Male",13,6
"736",19740751,1974,"Male",8,5
"737",19740752,1974,"Male",16,9
"738",19740753,1974,"Female",12,5
"739",19740754,1974,"Female",16,8
"740",19740755,1974,"Male",15,8
"741",19740756,1974,"Male",11,7
"742",19740757,1974,"Male",8,2
"743",19740758,1974,"Female",12,6
"744",19740759,1974,"Female",16,7
"745",19740760,1974,"Male",13,6
"746",19740761,1974,"Male",8,5
"747",19740762,1974,"Female",8,2
"748",19740763,1974,"Female",12,6
"749",19740764,1974,"Female",10,3
"750",19740765,1974,"Male",11,4
"751",19740766,1974,"Male",10,4
"752",19740767,1974,"Male",10,4
"753",19740768,1974,"Female",12,6
"754",19740769,1974,"Female",12,5
"755",19740770,1974,"Male",12,7
"756",19740771,1974,"Male",16,10
"757",19740772,1974,"Female",14,10
"758",19740773,1974,"Female",12,8
"759",19740774,1974,"Female",12,10
"760",19740776,1974,"Male",14,10
"761",19740777,1974,"Female",18,10
"762",19740778,1974,"Female",12,10
"763",19740779,1974,"Female",17,9
"764",19740780,1974,"Male",14,9
"765",19740781,1974,"Male",14,5
"766",19740782,1974,"Female",14,1
"767",19740783,1974,"Female",14,5
"768",19740784,1974,"Female",12,5
"769",19740785,1974,"Male",17,5
"770",19740786,1974,"Male",14,6
"771",19740787,1974,"Female",16,10
"772",19740788,1974,"Female",15,5
"773",19740789,1974,"Female",12,7
"774",19740790,1974,"Male",12,9
"775",19740791,1974,"Male",16,7
